Name	Dataset	Tissue	Organ
ppb.iBAQ.Tumor.8	PXD001676	Tumor	Colon
ppb.iBAQ.Tumor.7	PXD001676	Tumor	Colon
ppb.iBAQ.Tumor.6	PXD001676	Tumor	Colon
ppb.iBAQ.Tumor.5	PXD001676	Tumor	Colon
ppb.iBAQ.Tumor.4	PXD001676	Tumor	Colon
ppb.iBAQ.Tumor.3	PXD001676	Tumor	Colon
ppb.iBAQ.Tumor.2	PXD001676	Tumor	Colon
ppb.iBAQ.Tumor.1	PXD001676	Tumor	Colon
ppb.iBAQ.TCGA.AG.A036	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A032	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A02X	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A02N	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A026	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A020	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A01Y	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A01W	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A01N	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A01L	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A01J	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A016	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A015	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A014	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A011	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A00Y	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A00H	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A00C	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A008	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.A002	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.4007	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.3594	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.3593	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.3584	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.3580	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AG.3574	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AF.3913	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AF.3400	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AF.2692	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AF.2691	CPTAC	Tumor	Rectum
ppb.iBAQ.TCGA.AA.A03J	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A03F	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A02Y	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A02R	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A02O	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A02J	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A02H	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A02E	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A029	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A024	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A022	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A01Z	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A01X	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A01V	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A01T	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A01S	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A01R	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A01P	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A01K	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A01I	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A01F	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A01D	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A01C	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A017	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A010	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A00U	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A00R	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A00O	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A00N	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A00K	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A00J	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A00F	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A00E	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A00A	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.A004	CPTAC	Tumor	Colon
ppb.iBAQ.TCGA.AA.3989	CPTAC	Tumor	Colon
