Sample	Dataset	Source
ppb.iBAQ.e.EV_10N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_10T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_11N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_11T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_12N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_12T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_13N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_13T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_14N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_14T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_15N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_15T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_16N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_16T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_17N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_17T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_1N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_1T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_2N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_2T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_3N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_3T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_4N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_4T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_5N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_5T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_6N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_6T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_7N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_7T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_8N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_8T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_9N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.e.EV_9T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.EV_N	JPST000867	EC vesicles and exosomes
ppb.iBAQ.EV_T	JPST000867	EC vesicles and exosomes
ppb.iBAQ.KM12L4	PXD032899	Cell culture-derived
ppb.iBAQ.KM12SM	PXD032899	Cell culture-derived
ppb.iBAQ.SW620	PXD032899	Cell culture-derived
ppb.iBAQ E24 Normal	PXD005693	Interstitial fluid
ppb.iBAQ E24 Tumor	PXD005693	Interstitial fluid
ppb.iBAQ E25 Normal	PXD005693	Interstitial fluid
ppb.iBAQ E25 Tumor	PXD005693	Interstitial fluid
ppb.iBAQ E29 Normal	PXD005693	Interstitial fluid
ppb.iBAQ E29 Tumor	PXD005693	Interstitial fluid
ppb.iBAQ E40 Normal	PXD005693	Interstitial fluid
ppb.iBAQ E43 Normal	PXD005693	Interstitial fluid
ppb.iBAQ E43 Tumor	PXD005693	Interstitial fluid
ppb.iBAQ E45 Norrmal	PXD005693	Interstitial fluid
ppb.iBAQ E45 Tumor	PXD005693	Interstitial fluid
ppb.iBAQ E46 Normal	PXD005693	Interstitial fluid
ppb.iBAQ E46 Tumor	PXD005693	Interstitial fluid
ppb.iBAQ E47 Normal	PXD005693	Interstitial fluid
ppb.iBAQ E47 Tumor	PXD005693	Interstitial fluid
ppb.iBAQ.Expel10.CRC.LM	PXD005709	Interstitial fluid
ppb.iBAQ.Expel10.normal	PXD005709	Interstitial fluid
ppb.iBAQ.Expel17.CRC.LM	PXD005709	Interstitial fluid
ppb.iBAQ.Expel17.normal	PXD005709	Interstitial fluid
ppb.iBAQ.Expel18.CRC.LM	PXD005709	Interstitial fluid
ppb.iBAQ.Expel18.normal	PXD005709	Interstitial fluid
ppb.iBAQ.Expel19.CRC.LM	PXD005709	Interstitial fluid
ppb.iBAQ.Expel19.normal	PXD005709	Interstitial fluid
ppb.iBAQ.Expel22.CRC.LM	PXD005709	Interstitial fluid
ppb.iBAQ.Expel22.normal	PXD005709	Interstitial fluid
ppb.iBAQ.Expel3.CRC.LM	PXD005709	Interstitial fluid
ppb.iBAQ.Expel3.normal	PXD005709	Interstitial fluid
ppb.iBAQ.CRC.A	PXD010458	Blood-derived
ppb.iBAQ.CRC.B	PXD010458	Blood-derived
ppb.iBAQ.CRC.C	PXD010458	Blood-derived
ppb.iBAQ.CRC.D	PXD010458	Blood-derived
ppb.iBAQ.FEB	PXD010458	Blood-derived
ppb.iBAQ.Healthy	PXD010458	Blood-derived
ppb.iBAQ.A549_exo1	PXD020467	Cell culture-derived
ppb.iBAQ.A549_exo2	PXD020467	Cell culture-derived
ppb.iBAQ.A549_exo3	PXD020467	Cell culture-derived
ppb.iBAQ.Caco2_exo1	PXD020467	Cell culture-derived
ppb.iBAQ.Caco2_exo2	PXD020467	Cell culture-derived
ppb.iBAQ.Caco2_exo3	PXD020467	Cell culture-derived
ppb.iBAQ.H23_exo1	PXD020467	Cell culture-derived
ppb.iBAQ.H23_exo2	PXD020467	Cell culture-derived
ppb.iBAQ.H23_exo3	PXD020467	Cell culture-derived
ppb.iBAQ.HT29_exo1	PXD020467	Cell culture-derived
ppb.iBAQ.HT29_exo2	PXD020467	Cell culture-derived
ppb.iBAQ.HT29_exo3	PXD020467	Cell culture-derived
ppb.iBAQ.HTC116_exo1	PXD020467	Cell culture-derived
ppb.iBAQ.HTC116_exo2	PXD020467	Cell culture-derived
ppb.iBAQ.HTC116_exo3	PXD020467	Cell culture-derived
ppb.iBAQ.exoA153_TRG1	PXD031556	EC vesicles and exosomes
ppb.iBAQ.exoA162_TRG1	PXD031556	EC vesicles and exosomes
ppb.iBAQ.exoA186_TRG1	PXD031556	EC vesicles and exosomes
