Gene ID	Gene.Symbol	ppb.iBAQ.peptides	ppb.iBAQ.A549_exo1	ppb.iBAQ.A549_exo2	ppb.iBAQ.A549_exo3	ppb.iBAQ.Caco2_exo1	ppb.iBAQ.Caco2_exo2	ppb.iBAQ.Caco2_exo3	ppb.iBAQ.CRC.A	ppb.iBAQ.CRC.B	ppb.iBAQ.CRC.C	ppb.iBAQ.CRC.D	ppb.iBAQ.e.EV_10N	ppb.iBAQ.e.EV_10T	ppb.iBAQ.e.EV_11N	ppb.iBAQ.e.EV_11T	ppb.iBAQ.e.EV_12N	ppb.iBAQ.e.EV_12T	ppb.iBAQ.e.EV_13N	ppb.iBAQ.e.EV_13T	ppb.iBAQ.e.EV_14N	ppb.iBAQ.e.EV_14T	ppb.iBAQ.e.EV_15N	ppb.iBAQ.e.EV_15T	ppb.iBAQ.e.EV_16N	ppb.iBAQ.e.EV_16T	ppb.iBAQ.e.EV_17N	ppb.iBAQ.e.EV_17T	ppb.iBAQ.e.EV_1N	ppb.iBAQ.e.EV_1T	ppb.iBAQ.e.EV_2N	ppb.iBAQ.e.EV_2T	ppb.iBAQ.e.EV_3N	ppb.iBAQ.e.EV_3T	ppb.iBAQ.e.EV_4N	ppb.iBAQ.e.EV_4T	ppb.iBAQ.e.EV_5N	ppb.iBAQ.e.EV_5T	ppb.iBAQ.e.EV_6N	ppb.iBAQ.e.EV_6T	ppb.iBAQ.e.EV_7N	ppb.iBAQ.e.EV_7T	ppb.iBAQ.e.EV_8N	ppb.iBAQ.e.EV_8T	ppb.iBAQ.e.EV_9N	ppb.iBAQ.e.EV_9T	ppb.iBAQ E24 Normal	ppb.iBAQ E24 Tumor	ppb.iBAQ E25 Normal	ppb.iBAQ E25 Tumor	ppb.iBAQ E29 Normal	ppb.iBAQ E29 Tumor	ppb.iBAQ E40 Normal	ppb.iBAQ E43 Normal	ppb.iBAQ E43 Tumor	ppb.iBAQ E45 Norrmal	ppb.iBAQ E45 Tumor	ppb.iBAQ E46 Normal	ppb.iBAQ E46 Tumor	ppb.iBAQ E47 Normal	ppb.iBAQ E47 Tumor	ppb.iBAQ.EV_N	ppb.iBAQ.EV_T	ppb.iBAQ.exoA153_TRG1	ppb.iBAQ.exoA162_TRG1	ppb.iBAQ.exoA186_TRG1	ppb.iBAQ.exoA282_TRG1	ppb.iBAQ.exoA293_TRG1	ppb.iBAQ.exoA296_TRG1	ppb.iBAQ.exoA298	ppb.iBAQ.exoA334_TRG1	ppb.iBAQ.exoA342_TRG1	ppb.iBAQ.exoA360_TRG1	ppb.iBAQ.exoA363_TRG1	ppb.iBAQ.exoA384_TRG1	ppb.iBAQ.exoA386_TRG1	ppb.iBAQ.exoA406_TRG1	ppb.iBAQ.exoA415_TRG1	ppb.iBAQ.exoA50_TRG1	ppb.iBAQ.exoA63_TRG1	ppb.iBAQ.exoA95_TRG1	ppb.iBAQ.exoB100_TRG2	ppb.iBAQ.exoB12_TRG1	ppb.iBAQ.exoB148_TRG2	ppb.iBAQ.exoB150_TRG2	ppb.iBAQ.exoB164_TRG2	ppb.iBAQ.exoB191_TRG2	ppb.iBAQ.exoB198_TRG2	ppb.iBAQ.exoB201_TRG2	ppb.iBAQ.exoB234_TRG2	ppb.iBAQ.exoB240_TRG2	ppb.iBAQ.exoB260_TRG2	ppb.iBAQ.exoB311_TRG2	ppb.iBAQ.exoB318_TRG2	ppb.iBAQ.exoB364_TRG2	ppb.iBAQ.exoB392_TRG2	ppb.iBAQ.exoB393_TRG2	ppb.iBAQ.exoB398_TRG2	ppb.iBAQ.exoB401_TRG2	ppb.iBAQ.exoB51_TRG2	ppb.iBAQ.exoB62_TRG2	ppb.iBAQ.exoB92_TRG2	ppb.iBAQ.Expel10.CRC.LM	ppb.iBAQ.Expel10.normal	ppb.iBAQ.Expel17.CRC.LM	ppb.iBAQ.Expel17.normal	ppb.iBAQ.Expel18.CRC.LM	ppb.iBAQ.Expel18.normal	ppb.iBAQ.Expel19.CRC.LM	ppb.iBAQ.Expel19.normal	ppb.iBAQ.Expel22.CRC.LM	ppb.iBAQ.Expel22.normal	ppb.iBAQ.Expel3.CRC.LM	ppb.iBAQ.Expel3.normal	ppb.iBAQ.FEB	ppb.iBAQ.H23_exo1	ppb.iBAQ.H23_exo2	ppb.iBAQ.H23_exo3	ppb.iBAQ.Healthy	ppb.iBAQ.HT29_exo1	ppb.iBAQ.HT29_exo2	ppb.iBAQ.HT29_exo3	ppb.iBAQ.HTC116_exo1	ppb.iBAQ.HTC116_exo2	ppb.iBAQ.HTC116_exo3	ppb.iBAQ.KM12L4	ppb.iBAQ.KM12SM	ppb.iBAQ.plasmaA153_TRG1	ppb.iBAQ.plasmaA162_TRG1	ppb.iBAQ.plasmaA186_TRG1	ppb.iBAQ.plasmaA198_TRG2	ppb.iBAQ.plasmaA282_TRG1	ppb.iBAQ.plasmaA293_TRG1	ppb.iBAQ.plasmaA296_TRG1	ppb.iBAQ.plasmaA298	ppb.iBAQ.plasmaA32	ppb.iBAQ.plasmaA334_TRG1	ppb.iBAQ.plasmaA342_TRG1	ppb.iBAQ.plasmaA360_TRG1	ppb.iBAQ.plasmaA363_TRG1	ppb.iBAQ.plasmaA384_TRG1	ppb.iBAQ.plasmaA386_TRG1	ppb.iBAQ.plasmaA406_TRG1	ppb.iBAQ.plasmaA415_TRG1	ppb.iBAQ.plasmaA50_TRG1	ppb.iBAQ.plasmaA95_TRG1	ppb.iBAQ.plasmaB100_TRG2	ppb.iBAQ.plasmaB12_TRG2	ppb.iBAQ.plasmaB148_TRG2	ppb.iBAQ.plasmaB150_TRG2	ppb.iBAQ.plasmaB191_TRG2	ppb.iBAQ.plasmaB201_TRG2	ppb.iBAQ.plasmaB234_TRG2	ppb.iBAQ.plasmaB240_TRG2	ppb.iBAQ.plasmaB260_TRG2	ppb.iBAQ.plasmaB311_TRG2	ppb.iBAQ.plasmaB318_TRG2	ppb.iBAQ.plasmaB35_TRG2	ppb.iBAQ.plasmaB357_TRG2	ppb.iBAQ.plasmaB364_TRG2	ppb.iBAQ.plasmaB392_TRG2	ppb.iBAQ.plasmaB393_TRG2	ppb.iBAQ.plasmaB398_TRG2	ppb.iBAQ.plasmaB401_TRG2	ppb.iBAQ.plasmaB51_TRG2	ppb.iBAQ.plasmaB62_TRG2	ppb.iBAQ.plasmaB92_TRG2	ppb.iBAQ.SW620
ENSG00000121410	A1BG	176647.2355	NA	NA	NA	NA	NA	NA	45679313.04	53398181.69	41116729.45	37803707.74	48508.5621	NA	9185.208418	7761.604382	16571.88233	NA	NA	56958.84626	21452.292	NA	NA	NA	NA	62391.44829	NA	13444.40115	NA	NA	NA	42798.59709	9791.91594	NA	NA	28721.15202	NA	NA	10546.406	NA	43983.31701	NA	NA	21726.36321	27555.51633	NA	2103946.328	337091.2182	2511111.552	2585892.139	851235.5365	636518.0005	752776.1088	1210729.161	688377.5759	1094534.632	354122.712	1299042.674	687803.6547	1535012.04	1109633.259	4376.282549	NA	367629.3112	NA	77682.00384	2019551.163	497507.3987	49257.65602	61181.53011	19807.77097	240100.1733	708870.7453	61085.38027	200325.3581	1601613.049	1585822.724	556287.6864	244651.5722	35818.17022	94806.33482	192328.0141	205688.5747	NA	652235.2292	255853.019	197539.0827	NA	NA	NA	261244.4804	78753.53868	75613.31717	41578.97577	NA	127743.8142	NA	NA	75054.01507	11917.22479	216388.9575	272681.6656	1004575.837	237905.4559	567781.05	1103593.02	242789.7723	132493.9876	1480484.068	413207.7963	789058.9014	192352.7328	656082.7609	288729.1922	52690518.99	NA	NA	NA	58014004.67	NA	NA	NA	NA	NA	NA	534129.6668	425811.7723	12312844.37	7691407.836	5266688.798	9916477.985	7243648.318	7030754.86	7846131.91	6920144.559	12827283.33	6612319.792	7377961.578	7942577.039	6721252.071	8388431.504	9770148.226	5591951.206	6687927.418	7562194.052	4496076.213	7136121.512	10557449.01	9579484.259	4480992.281	6908035.112	6810967.394	6332294.935	9395438.588	10225142.92	7796693.24	8525051.069	12937188.27	9918964.295	7996895.07	10845197	8861390.037	7389405.64	8483366.735	10583805.72	15187131.53	7672653.329	597631.7245
ENSG00000148584	A1CF	176647.2355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25100.12138	NA	NA	NA	59480.23215	NA	31976.3768	NA	119403.5334	NA	27306.27006	NA	41222.80426	NA	34783.59881	NA	106257.9132	NA	58803.20589	NA	NA	NA	NA	64624.87956	18533.01616	NA	31255.67201	NA	32905.44848	NA	61387.8549	31160.68637	41329.87933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21558.12965	NA	NA	NA	NA	3369.513779	17009.3909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3340.000506	43318.99794	3539.843737	60606.14635	NA	12706.76436	2098.244001	50947.94368	9550.30311	72953.78831	2606.192576	94613.78994	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000175899	A2M	176647.2355	242311.9716	1522510.537	1965415.591	14420559.72	3374381.824	6189094.834	3595145.138	260111.0482	225769.822	2166821.814	12743496.43	3413965.485	8293407.773	843755.3459	18309041.09	1098541.862	6460142.178	4040985.152	48810283.62	301981.1904	10700326.38	244368.011	47247463.46	5417753.247	27261078.33	150391.8282	3031471.019	102439.4014	25721366.43	237322.8433	21008336.52	1521616.018	18547004.76	6817035.426	13406222.99	5762173.454	20827308.08	1099713.62	11159711.63	91637.25709	15712104.89	3645970.436	1386267.995	10029.87064	2126407.438	510629.5034	2404221.082	2189114.366	988390.561	373954.3253	1250940.499	1360803.881	528173.0794	1449159.437	293636.8549	1440096.148	417344.5134	1793734.276	998420.817	11476227.21	984361.95	63449585.66	173233055	173398770.5	56636328.46	80081100.42	43946318.42	79462992.31	86009796.22	69590108.5	33455019.22	63894457.8	22805773.9	35241600.1	73531214.33	38322813.72	164397672.8	72810928.01	49197351.81	78822064.16	51068272.18	210446663.3	54368294.81	57328328.54	92640139.35	92235194.42	70542115.58	185549713.6	95287986.41	49804098.23	44454209.33	66002612.63	68689815.82	19090012.29	82492679.28	97787542.88	29212171.43	41720866.12	136128817.7	137627518.9	1425838.219	623412.8326	834473.0266	638586.4004	252252.3594	221606.7146	2724880.023	771489.6389	700894.4843	378133.3574	862493.1411	811433.0583	2330298.602	899345.3419	1652787.973	2008753.387	2255505.787	9227399.627	4863671.647	1496499.225	5137176.279	6088592.069	1921508.813	2417850.176	1870052.014	12751597.06	28284178.72	15292093.62	13146062.93	9800251.232	18139097.21	13671215.38	9776043.301	18889034.82	22329079.65	7692528.814	12024398.79	13674728.35	10242293.39	10681834.66	17428202.2	9012130.3	14152215.06	8722804.394	11879740.04	9124483.535	18580353.79	8964808.361	5427768.978	10703641.76	19075705.37	12530472.02	8890145.656	5688656.344	14881039.05	9327256.699	9959054.171	11931101.08	9843740.439	29650844.54	16631057.36	10968131.62	7208376.292	16296240.44	12749965.2	2822152.012
ENSG00000166535	A2ML1	176647.2355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	495850.985	289125.1159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9489.734191	NA	NA	NA	NA	NA
ENSG00000094914	AAAS	176647.2355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19507.7009	NA	NA	NA	NA	8500.829942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000081760	AACS	176647.2355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12632.39779	NA	NA	NA	NA	145314.5509	NA	143134.4417	NA	81566.22953	NA	82492.08645	NA	NA	NA	190933.4362	NA	153564.7565	NA	170041.491	NA	9606.45173	NA	45695.23304	69408.80662	149753.2233	73388.54609	458760.7855	1985.297561	91704.28723	NA	68994.49954	NA	227386.5648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22124.45282	180496.7599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10348.8717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23870.23423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000114771	AADAC	176647.2355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23710.76378	NA	21513.75246	NA	20591.47635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000103591	AAGAB	176647.2355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3341.93667	NA	3101.664591	NA	33893.72098	NA	NA	14452.01354	6354.027218	NA	NA	2081.721524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000087884	AAMDC	176647.2355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74224.62722	37009.89619	248774.3145	61254.11898	376170.2151	102987.6894	81035.41722	26289.08178	72794.48609	27525.44846	153387.4846	16867.37119	62288.00975	28686.73626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21068.39956	24869.62695	134416.6889	60911.40001	NA	29284.56272	42485.55773	115541.3872	30887.22882	77470.70114	74013.92959	122945.4357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000127837	AAMP	176647.2355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49785.37719	NA	NA	NA	NA	NA	NA	NA	NA	NA	41536.44356	NA	NA	NA	16155.75795	NA	NA	NA	NA	10575.42405	NA	148477.8368	NA	314823.1457	833.8824508	11836.10943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10090.93553	NA	NA	NA	5869.136349	NA	NA	NA	251.9127698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
